Quantity,Level/Category,Common Code,Name,Conversion Factor,Symbol,Description
angle (plane),1,C81,radian,rad,rad,
angle (plane),1S,C25,milliradian,10⁻³ rad,mrad,
angle (plane),1S,B97,microradian,10⁻⁶ rad,µrad,
angle (plane),1,DD,degree [unit of angle],"1,745 329 × 10⁻² rad",°,
angle (plane),1,D61,minute [unit of angle],"2,908 882 × 10⁻⁴ rad",',
angle (plane),1,D62,second [unit of angle],"4,848 137 × 10⁻⁶ rad","""",
angle (plane),2,A91,grade,#NAME?,,
angle (plane),2,A91,gon,"1,570 796 × 10⁻² rad",gon,Synonym: grade
angle (plane),2,M43,mil,"9,817 477  × 10⁻⁴ rad",mil,"Unit to indicate an angle at military zone, equal to the 6400th part of the full circle of the 360° or 2·p·rad."
angle (plane),2,M44,revolution,"6,283 185 rad",rev,Unit to identify an angle of the full circle of 360° or 2·p·rad (Refer ISO/TC12 SI Guide).
solid angle,1,D27,steradian,sr,sr,
solid angle,2,H57,inch per two pi radiant,"2,54 × 10⁻² m/(2 × π × rad)",in/revolution,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,MTR,metre,m,m,
solid angle,1M,E96,degree per second,"1,745 329 × 10⁻² rad × s⁻¹",°/s,
solid angle,2,H27,degree per metre,"1,745 329 × 10⁻² rad/m",°/m,
solid angle,1S,M55,metre per radiant,m/rad,m/rad,Unit of the translation factor for implementation from rotation to linear movement.
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,DMT,decimetre,10⁻¹ m,dm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,CMT,centimetre,10⁻² m,cm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,4H,micrometre (micron),10⁻⁶ m,µm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,MMT,millimetre,10⁻³ m,mm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,HMT,hectometre,10² m,hm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,KTM,kilometre,10³ m,km,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,KMT,kilometre,10³ m,km,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,C45,nanometre,10⁻⁹ m,nm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,C52,picometre,10⁻¹² m,pm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1S,A71,femtometre,10⁻¹⁵ m,fm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,A45,decametre,10 m,dam,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,NMI,nautical mile,1 852 m,n mile,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,A11,angstrom,10⁻¹⁰ m,Å,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,A12,astronomical unit,"1,495 978 70 × 10¹¹ m",ua,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1,C63,parsec,"3,085 678 × 10¹⁶ m",pc,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,F52,metre per kelvin,m × K⁻¹,m/K,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,F50,micrometre per kelvin,10⁻⁶ m × K⁻¹,µm/K,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,F51,centimetre per kelvin,10⁻² m × K⁻¹,cm/K,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,G06,millimetre per bar,10⁻⁸ kg⁻¹ × m² × s²,mm/bar,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,H84,gram millimetre,10⁻⁶ kg × m,g·mm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,G04,centimetre per bar,10⁻⁷ kg⁻¹ × m² × s²,cm/bar,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,G05,metre per bar,10⁻⁵ kg⁻¹ × m² × s²,m/bar,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,H79,French gauge,"0,333 333 333 × 10⁻³ m",Fg,"A unit of distance used for measuring the diameter of small tubes such as urological instruments and catheters.
Synonym: French, Charrière, Charrière gauge"
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,AK,fathom,"1,828 8 m",fth,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,X1,Gunter's chain,"20,116 8 m",ch (UK),A unit of distance used or formerly used by British surveyors.
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,INH,inch,"25,4 x 10⁻³ m",in,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,M7,micro-inch,"25,4 x 10⁻⁹ m",µin,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,FOT,foot,"0,304 8 m",ft,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,YRD,yard,"0,914 4 m",yd,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,SMI,mile (statute mile),"1 609,344 m",mile,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,77,milli-inch,"25,4 x 10⁻⁶ m",mil,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,B57,light year,"9,460 73 x 10¹⁵ m",ly,A unit of length defining the distance that light travels in a vacuum in one year.
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,F49,rod [unit of distance],"5,029 210 m",rd (US),A unit of distance equal to 5.5 yards (16 feet 6 inches).
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,MAM,megametre,10⁶ m,Mm,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,K13,foot per degree Fahrenheit,"0,548 64 m/K",ft/°F,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,K17,foot per psi,"4,420 750 x 10⁻⁵ m/Pa",ft/psi,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,K45,inch per degree Fahrenheit,"4,572 x 10⁻² m/K",in/°F,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,K46,inch per psi,"3,683 959 x 10⁻⁶ m/Pa",in/psi,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,L98,yard per degree Fahrenheit,"1,645 92 m/K",yd/°F,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,L99,yard per psi,"1,326 225 x 10⁻⁴ m/Pa",yd/psi,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,M49,chain (based on U.S. survey foot),"2,011684 x 10 m",ch (US survey) ,Unit of the length according the Anglo-American system of units.
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,M50,furlong,"2,011 68 x 10² m",fur,Unit commonly used in Great Britain at rural distances: 1 furlong = 40 rods = 10 chains (UK) = 1/8 mile = 1/10 furlong = 220 yards = 660 foot.
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,M51,foot (U.S. survey) ,"3,048 006 x 10⁻¹ m",ft (US survey) ,"Unit commonly used in the United States for ordnance survey.
"
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,M52,mile (based on U.S. survey foot) ,"1,609347 x 10³ m",mi (US survey) ,Unit commonly used in the United States for ordnance survey.
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",1M,M53,metre per pascal,kg⁻¹ x m² x s²,m/Pa,SI base unit metre divided by the derived SI unit pascal.
area,1,MTK,square metre,m²,m²,
area,1S,KMK,square kilometre,10⁶ m²,km²,
area,1S,H30,square micrometre (square micron),10⁻¹² m²,µm²,
area,1,H59,square metre per newton,m x kg⁻¹ x s²,m²/N,
area,1M,DAA,decare,10³ m²,daa,
area,1S,CMK,square centimetre,10⁻⁴ m²,cm²,
area,1S,DMK,square decimetre,10⁻² m²,dm²,
area,1S,H16,square decametre,10² m²,dam²,Synonym: are
area,1S,H18,square hectometre,10⁴ m²,hm²,Synonym: hectare
area,1S,MMK,square millimetre,10⁻⁶ m²,mm²,
area,2,ARE,are,10² m²,a,Synonym: square decametre
area,2,HAR,hectare,10⁴ m²,ha,Synonym: square hectometre
area,2,INK,square inch,"6,451 6 x 10⁻⁴ m²",in²,
area,2,FTK,square foot,"9,290 304 x 10⁻² m²",ft²,
area,2,YDK,square yard,"8,361 274 x 10⁻¹ m²",yd²,
area,2,MIK,square mile (statute mile),"2,589 988 km²",mi²,
area,2,M48,square mile (based on U.S. survey foot) ,"2,589 998 x 10⁶ m²",mi² (US survey),"Unit of the area, which is mainly common in the agriculture and forestry."
area,2,ACR,acre,"4 046,873 m²",acre,
area,2,M47,circular mil ,"5,067 075 x 10⁻¹⁰ m²",cmil,"Unit of an area, of which the size is given by a diameter of length of 1 mm (0,001 in) based on the formula: area = p·(diameter/2)²."
volume,1,MTQ,cubic metre,m³,m³,Synonym: metre cubed
volume,1M,MAL,megalitre,10³ m³,Ml,
volume,1,LTR,litre,10⁻³ m³,l,
volume,1S,MMQ,cubic millimetre,10⁻⁹ m³,mm³,
volume,1S,CMQ,cubic centimetre,10⁻⁶ m³,cm³,
volume,1S,DMQ,cubic decimetre,10⁻³ m³,dm³,
volume,1S,MLT,millilitre,10⁻⁶ m³,ml,
volume,1S,HLT,hectolitre,10⁻¹ m³,hl,
volume,1S,CLT,centilitre,10⁻⁵ m³,cl,
volume,1S,DMA,cubic decametre,10³ m³,dam³,
volume,1S,H19,cubic hectometre,10⁶ m³,hm³,
volume,1S,H20,cubic kilometre,10⁹ m³,km³,
volume,1S,M71,cubic metre per pascal,kg⁻¹ x m⁴ x s²,m³/Pa,Power of the SI base unit meter by exponent 3 divided by the derived SI base unit pascal.
volume,1M,DLT,decilitre,10⁻⁴ m³,dl,
volume,1M,4G,microlitre,10⁻⁹ m³,µl,
volume,1M,K6,kilolitre,m³,kl,
volume,1M,A44,decalitre,10⁻² m³,dal,
volume,1M,G94,cubic centimetre per bar,10⁻¹¹ kg⁻¹ x m⁴ x s²,cm³/bar,
volume,1M,G95,litre per bar,10⁻⁸ kg⁻¹ x m⁴ x s²,l/bar,
volume,1M,G96,cubic metre per bar,10⁻⁵ kg⁻¹ x m⁴ x s²,m³/bar,
volume,1M,G97,millilitre per bar,10⁻¹¹ kg⁻¹ x m⁴ x s²,ml/bar,
volume,2,5I,standard cubic foot,"4,672 m³",std,Use standard (common code WSD)
volume,2,INQ,cubic inch,"16,387 064 x 10⁻⁶ m³",in³,Synonym: inch cubed
volume,2,FTQ,cubic foot,"2,831 685 x 10⁻² m³",ft³,
volume,2,YDQ,cubic yard,"0,764 555 m³",yd³,
volume,2,GLI,gallon (UK),"4,546 092 x 10⁻³ m³",gal (UK),
volume,2,GLL,gallon (US),"3,785 412 x 10⁻³ m³",gal (US),
volume,2,PT,pint (US),"4, 731 76 x 10⁻⁴ m³",pt (US),Use liquid pint (common code PTL)
volume,2,PTI,pint (UK),"5, 682 61 x 10⁻⁴ m³",pt (UK),
volume,2,QTI,quart (UK),"1,136 522 5 x 10⁻³ m³",qt (UK),
volume,2,PTL,liquid pint (US),"4, 731 765 x 10⁻⁴ m³",liq pt (US),
volume,2,QTL,liquid quart (US),"9,463 529 x 10⁻⁴ m³",liq qt (US),
volume,2,PTD,dry pint (US),"5,506 105 x 10⁻⁴ m³",dry pt (US),
volume,2,OZI,fluid ounce (UK),"2,841 306 x 10⁻⁵ m³",fl oz (UK),
volume,2,QT,quart (US),"0,946 352 9 x 10⁻³ m³",qt (US),Use liquid quart (common code QTL)
volume,2,J57,barrel (UK petroleum),"0,159 113 15 m³",bbl (UK liq.),
volume,2,K21,cubic foot per degree Fahrenheit,"5,097 033 x 10⁻² m³/K",ft³/°F,
volume,2,K23,cubic foot per psi,"4,107 012 x 10⁻⁶ m³/Pa",ft³/psi,
volume,2,L43,peck (UK),"9,092 181 x 10⁻³ m³",pk (UK),
volume,2,L61,pint (US dry),"5,506 105 x 10⁻⁴ m³",pt (US dry),Use dry pint (common code PTD)
volume,2,L62,quart (US dry),"1,101 221 x 10⁻³ m³",qt (US dry),Use dry quart (US) (common code QTD)
volume,2,L84,ton (UK shipping),"1,189 3 m³",British shipping ton,
volume,2,L86,ton (US shipping),"1,132 6 m³",(US) shipping ton,
volume,2,M11,cubic yard per degree Fahrenheit,"1,376 199 m³/K",yd³/°F,
volume,2,M14,cubic yard per psi,"1,108 893 x 10⁻⁴ m³/Pa",yd³/psi,
volume,2,OZA,fluid ounce (US),"2,957 353 x 10⁻⁵ m³",fl oz (US),
volume,2,BUI,bushel (UK),"3,636 872 x 10⁻² m³",bushel (UK),
volume,2,BUA,bushel (US),"3,523 907 x 10⁻² m³",bu (US),
volume,2,BLL,barrel (US),"158,987 3 x 10⁻³ m³",barrel (US),
volume,2,BLD,dry barrel (US),"1,156 27 x 10⁻¹ m³",bbl (US),
volume,2,GLD,dry gallon (US),"4,404 884 x 10⁻³ m³",dry gal (US),
volume,2,QTD,dry quart (US),"1,101 221 x 10⁻³ m³",dry qt (US),
volume,2,G26,stere,m³,st,
volume,2,G21,cup [unit of volume],"2,365 882 x 10⁻⁴ m³",cup (US),
volume,2,G24,tablespoon (US),"1,478 676 x 10⁻⁵ m³",tablespoon (US),
volume,2,G25,teaspoon (US),"4,928 922 x 10⁻⁶ m³",teaspoon (US),
volume,2,G23,peck,"8,809 768 x 10⁻³ m³",pk (US),
volume,2,M67,acre-foot (based on U.S. survey foot),"1,233 489 x 10³ m³",acre-ft (US survey),"Unit of the volume, which is used in the United States to measure/gauge the capacity of reservoirs."
volume,2,M68,cord (128 ft3),"3,624 556 m³",cord,Traditional unit of the volume of stacked firewood which has been measured with a cord.
volume,2,M69,cubic mile (UK statute),"4,168 182 x 10⁹ m³",mi³,Unit of volume according to the Imperial system of units.
volume,2,M70,"ton, register ","2,831 685 m³",RT,Traditional unit of the cargo capacity.
volume per temperature,1M,G27,cubic centimetre per kelvin,10⁻⁶ m³ x K⁻¹,cm³/K,
volume per temperature,1M,G29,cubic metre per kelvin,m³ x K⁻¹,m³/K,
volume per temperature,1M,G28,litre per kelvin,10⁻³ m³ x K⁻¹,l/K,
volume per temperature,1M,G30,millilitre per kelvin,10⁻⁶ m³ x K⁻¹,ml/K,
volume ratio,1S,J36,microlitre per litre,10⁻⁶,µl/l,
volume ratio,1S,J87,cubic centimetre per cubic metre,10⁻⁶,cm³/m³,
volume ratio,1S,J91,cubic decimetre per cubic metre,10⁻³,dm³/m³,
volume ratio,1S,K62,litre per litre,1,l/l,
volume ratio,1S,L19,millilitre per litre,10⁻³,ml/l,
volume ratio,1S,L21,cubic millimetre per cubic metre,10⁹,mm³/m³,
time,1,SEC,second [unit of time],s,s,
time,1,MIN,minute [unit of time],60 s,min,
time,1,HUR,hour,3 600 s,h,
time,1,DAY,day,86 400 s,d,
time,1S,B52,kilosecond,10³ s,ks,
time,1S,C26,millisecond,10⁻³ s,ms,
time,1,H70,picosecond,10⁻¹² s,ps,
time,1S,B98,microsecond,10⁻⁶ s,µs,
time,1S,C47,nanosecond,10⁻⁹ s,ns,
time,2,WEE,week,"6,048 x 10⁵ s",wk,
time,2,MON,month,"2,629 800 x 10⁶ s",mo,"Unit of time equal to 1/12 of a year of 365,25 days."
time,2,ANN,year,"3,155 76 x 10⁷ s",y,"Unit of time equal to 365,25 days.
Synonym: Julian year"
time,2,D42,tropical year,"3,155 692 5 x 10⁷ s",y (tropical),"Unit of time equal to about 365.242 19 days.
Synonym: solar year"
time,2,L95,common year,"3,153 6 x 10⁷ s",y (365 days),
time,2,L96,sidereal year,"3,155 815 x 10⁷ s",y (sidereal),
time,2,M56,shake,10⁻⁸ s,shake,Unit for a very short period.
angular velocity,1,2A,radian per second,rad/s,rad/s,Refer ISO/TC12 SI Guide
angular velocity,2,M46,revolution per minute ,"0,104 719 8 rad/s",r/min,Unit of the angular velocity.
angular acceleration,1,2B,radian per second squared,rad/s²,rad/s²,Refer ISO/TC12 SI Guide
angular acceleration,1M,M45,degree [unit of angle] per second squared,"1,745 329 x 10⁻² rad / s",°/s²,360 part of a full circle divided by the power of the SI base unit second and the exponent 2.
"velocity, phase velocity, group velocity",1,MTS,metre per second,m/s,m/s,
"velocity, phase velocity, group velocity",1,KNT,knot,"0,514 444 m/s",kn,
"velocity, phase velocity, group velocity",1S,KMH,kilometre per hour,"0,277 778 m/s",km/h,
"velocity, phase velocity, group velocity",1S,C16,millimetre per second,10⁻³ m/s,mm/s,
"velocity, phase velocity, group velocity",1S,2M,centimetre per second,10⁻² m/s,cm/s,
"velocity, phase velocity, group velocity",1M,H49,centimetre per hour,"0,277 777 778 × 10⁻⁶ m x s⁻¹",cm/h,
"velocity, phase velocity, group velocity",1M,H81,millimetre per minute,"1,666 666 667 × 10⁻⁵ m x s⁻¹",mm/min,
"velocity, phase velocity, group velocity",1M,2X,metre per minute,"0,016 666 m/s",m/min,
"velocity, phase velocity, group velocity",1S,M59,metre per second pascal,m² x kg⁻¹ x s,(m/s)/Pa,SI base unit meter divided by the product of SI base unit second and the derived SI unit pascal.
"velocity, phase velocity, group velocity",2,H66,millimetre per year,"3,15576 × 10⁴ m x s⁻¹",mm/y,
"velocity, phase velocity, group velocity",2,H67,millimetre per hour,"0,277 777 778 × 10⁻⁷ m x s⁻¹",mm/h,
"velocity, phase velocity, group velocity",2,FR,foot per minute,"5,08 x 10⁻³ m/s",ft/min,
"velocity, phase velocity, group velocity",2,IU,inch per second,"0,025 4 m/s",in/s,
"velocity, phase velocity, group velocity",2,IU,inch per second,"0,025 4 m/s",in/s,
"velocity, phase velocity, group velocity",2,FS,foot per second,"0,304 8 m/s",ft/s,
"velocity, phase velocity, group velocity",2,HM,mile per hour (statute mile),"0,447 04 m/s",mile/h,
"velocity, phase velocity, group velocity",2,J84,centimetre per second kelvin,10⁻² (m/s)/K,(cm/s)/K,
"velocity, phase velocity, group velocity",2,J85,centimetre per second bar,10⁻⁷ (m/s)/Pa,(cm/s)/bar,
"velocity, phase velocity, group velocity",2,K14,foot per hour,"8,466 667 x 10⁻⁵m/s",ft/h,
"velocity, phase velocity, group velocity",2,K18,foot per second degree Fahrenheit,"0,548 64  (m/s)/K",(ft/s)/°F,
"velocity, phase velocity, group velocity",2,K19,foot per second psi,"4,420 750 x 10⁻⁵ (m/s)/Pa",(ft/s)/psi,
"velocity, phase velocity, group velocity",2,K47,inch per second degree Fahrenheit,"4,572 x 10⁻² (m/s)/K",(in/s)/°F,
"velocity, phase velocity, group velocity",2,K48,inch per second psi,"3,683 959 x 10⁻⁶ (m/s)/Pa",(in/s)/psi,
"velocity, phase velocity, group velocity",2,L12,metre per second kelvin,(m/s)/K,(m/s)/K,
"velocity, phase velocity, group velocity",2,L13,metre per second bar,10⁻⁵ (m/s)/Pa,(m/s)/bar,
"velocity, phase velocity, group velocity",2,M22,millilitre per square centimetre minute,"2,777 778 x 10⁻⁶  (m³/s)/m²",(ml/min)/cm²,
"velocity, phase velocity, group velocity",2,M57,mile per minute ,"26,822 4 m/s",mi/min,Unit of velocity from the Imperial system of units.
"velocity, phase velocity, group velocity",2,M58,mile per second ,"1,609 344 x 10³ m/s",mi/s,Unit of the velocity from the Imperial system of units.
"velocity, phase velocity, group velocity",2,M60,metre per hour,"2,777 78 x 10⁻⁴ m/s",m/h,SI base unit metre divided by the unit hour.
"velocity, phase velocity, group velocity",2,M61,inch per year,"8,048 774 x 10⁻¹⁰ m/s",in/y,Unit of the length according to the Anglo-American and Imperial system of units divided by the unit common year with 365 days.
"velocity, phase velocity, group velocity",2,M62,kilometre per second ,10³ m/s,km/s,1000-fold of the SI base unit metre divided by the SI base unit second.
"velocity, phase velocity, group velocity",2,M63,inch per minute,"4,233 333 x 10⁻⁴ m/s",in/min,Unit inch according to the Anglo-American and Imperial system of units divided by the unit minute.
"velocity, phase velocity, group velocity",2,M64,yard per second,"9,144 x 10⁻¹ m/s",yd/s,Unit yard according to the Anglo-American and Imperial system of units divided by the SI base unit second.
"velocity, phase velocity, group velocity",2,M65,yard per minute,"1,524 x 10⁻² m/s",yd/min,Unit yard according to the Anglo-American and Imperial system of units divided by the unit minute.
"velocity, phase velocity, group velocity",2,M66,yard per hour,"2,54 x 10⁻⁴ m/s",yd/h,Unit yard according to the Anglo-American and Imperial system of units divided by the unit hour.
"acceleration, acceleration of free fall, acceleration due to gravity",1,MSK,metre per second squared,m/s²,m/s²,
"acceleration, acceleration of free fall, acceleration due to gravity",1S,A76,gal,10⁻² m/s²,Gal,
"acceleration, acceleration of free fall, acceleration due to gravity",1M,C11,milligal,10⁻⁵ m/s²,mGal,
"acceleration, acceleration of free fall, acceleration due to gravity",1M,M38,kilometre per second squared,10³ m/s²,km/s²,1000-fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2.
"acceleration, acceleration of free fall, acceleration due to gravity",1M,M39,centimetre per second squared,10⁻² m/s²,cm/s²,"0,01-fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2."
"acceleration, acceleration of free fall, acceleration due to gravity",1M,M41,millimetre per second squared,10⁻³ m/s²,mm/s²,"0,001-fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2."
"acceleration, acceleration of free fall, acceleration due to gravity",2,A73,foot per second squared,"0,304 8 m/s²",ft/s²,
"acceleration, acceleration of free fall, acceleration due to gravity",2,IV,inch per second squared,"0,025 4 m/s²",in/s²,
"acceleration, acceleration of free fall, acceleration due to gravity",2,K40,standard acceleration of free fall,"9,806 65 m/s²",gn,
"acceleration, acceleration of free fall, acceleration due to gravity",2,M40,yard per second squared,"9,144 x 10⁻¹ m/s²",yd/s²,Unit of the length according to the Anglo-American and Imperial system of units divided by the power of the SI base unit second by exponent 2.
"acceleration, acceleration of free fall, acceleration due to gravity",2,M42,mile (statute mile) per second squared,"1,609 344 x 10³ m/s²",mi/s²,Unit of the length according to the Imperial system of units divided by the power of the SI base unit second by exponent 2.
curvature,1,C92,reciprocal metre,m⁻¹,m⁻¹,
volume,1S,Q32,femtolitre,10-18 m3,fl,
volume,1S,Q33,picolitre,10-15 m3,pl,
volume,1S,Q34,nanolitre,10-12 m3,nl,
"length, breadth, height, thickness, radius, radius of curvature, cartesian coordinates, diameter, length of path, distance",2,AWG,american wire gauge,,AWG,A unit of distance used for measuring the diameter of small tubes or wires such as the outer diameter od hypodermic or suture needles.
volume,2,NM3,Normalised cubic metre,m3,,Normalised cubic metre (temperature 0°C and pressure 101325 millibars )
volume,2,SM3,Standard cubic metre,m3,,Standard cubic metre (temperature 15°C and pressure 101325 millibars )
frequency,1,HTZ,hertz,Hz,Hz,
frequency,1S,KHZ,kilohertz,10³ Hz,kHz,
frequency,1S,MHZ,megahertz,10⁶ Hz,MHz,
frequency,1S,D29,terahertz,10¹² Hz,THz,
frequency,1S,A86,gigahertz,10⁹ Hz,GHz,
frequency,1M,H10,reciprocal hour,"2,777 78 × 10⁻⁴ s⁻¹",1/h,
frequency,1M,H11,reciprocal month,"3,802 57 × 10⁻⁷ s⁻¹",1/mo,
frequency,1M,H09,reciprocal year,"3,168 81 x 10⁻⁸ s⁻¹",1/y,
frequency,1M,H85,reciprocal week,"1,647 989 452 868 × 10⁻⁶ s⁻¹",1/wk,
rotational frequency,1,C97,reciprocal second,s⁻¹,s⁻¹,
rotational frequency,1,RPS,revolutions per second,1/s,r/s,Refer ISO/TC12 SI Guide
rotational frequency,1,RPM,revolutions per minute,"1,67 x 10⁻²/s",r/min,Refer ISO/TC12 SI Guide
rotational frequency,1S,C94,reciprocal minute,"1,666 667 x 10⁻² s",min⁻¹,
"angular frequency, pulsatance",1,2A,radian per second,rad/s,rad/s,Refer ISO/TC12 SI Guide
"angular frequency, pulsatance",1,C97,reciprocal second,s⁻¹,s⁻¹,
wavelength,1,MTR,metre,m,m,
wavelength,1,A11,angstrom,10⁻¹⁰ m,Å,
"wave number, attenuation coefficient, phase coefficient, propagation coefficient, repetency",1,C92,reciprocal metre,m⁻¹,m⁻¹,
"level of a field quantity, level of a power quantity",1,C50,neper,Np,Np,
"level of a field quantity, level of a power quantity",1,2N,decibel,"0,115 129 3 Np",dB,
"level of a field quantity, level of a power quantity",1M,M72,bel,B,B,Logarithmic relationship to base 10.
damping coefficient,1,C97,reciprocal second,s⁻¹,s⁻¹,
damping coefficient,1,C51,neper per second,Np/s,Np/s,
logarithmic decrement,1,C50,neper,Np,Np,
mass,1,KGM,kilogram,kg,kg,A unit of mass equal to one thousand grams.
mass,1S,MC,microgram,10⁻⁹ kg,µg,
mass,1M,DJ,decagram,10⁻² kg,dag,
mass,1M,DG,decigram,10⁻⁴ kg,dg,
mass,1S,GRM,gram,10⁻³ kg,g,
mass,1M,CGM,centigram,10⁻⁵ kg,cg,
mass,1S,TNE,tonne (metric ton),10³ kg,t,Synonym: metric ton
mass,1M,DTN,decitonne,10² kg,dt or dtn,"Synonym: centner, metric 100 kg; quintal, metric 100 kg"
mass,1S,MGM,milligram,10⁻⁶ kg,mg,
mass,1M,HGM,hectogram,10⁻¹ kg,hg,
mass,1M,KTN,kilotonne,10⁶ kg,kt,
mass,1S,2U,megagram,10³ kg,Mg,
mass,2,LBR,pound,"0,453 592 37 kg",lb,
mass,2,GRN,grain,"64,798 91 x 10⁻⁶ kg",gr,
mass,2,ONZ,ounce (avoirdupois),"2,834 952 x 10⁻² kg",oz,
mass,2,CWI,hundred weight (UK),"50,802 35 kg",cwt (UK),
mass,2,CWA,hundred pound (cwt) / hundred weight (US),"45,359 2 kg",cwt (US),
mass,2,LTN,ton (UK) or long ton (US),"1,016 047 x 10³ kg",ton (UK),Synonym: gross ton (2240 lb)
mass,2,STI,stone (UK),"6,350 293 kg",st,
mass,2,STN,ton (US) or short ton (UK/US),"0,907184 7 x 10³ kg",ton (US),Synonym: net ton (2000 lb)
mass,2,APZ,troy ounce or apothecary ounce,"3,110 348 x 10⁻³ kg",tr oz,
mass,2,F13,slug,"1,459 390 x 10¹ kg",slug,A unit of mass. One slug is the mass accelerated at 1 foot per second per second by a force of 1 pound.
mass,2,K64,pound (avoirdupois) per degree Fahrenheit,"0,816 466 3 kg/K",lb/°F,
mass,2,L69,tonne per kelvin,10³ kg/K,t/K,
mass,2,L87,ton short per degree Fahrenheit,"1,632 932 x 10³ kg/K",ton (US)/°F,
mass,2,M85,"ton, assay","2,916 667 x 10⁻² kg",,Non SI-conforming unit of the mass used in the mineralogy to determine the concentration of precious metals in ore according to the mass of the precious metal in milligrams in a sample of the mass of an assay sound (number of troy ounces in a short ton (1 000 lb)).
mass,2,M86,pfund,"0,5 kg",pfd,Outdated unit of the mass used in Germany.
